City Name,Longitude,Latitude,Max Temperature,Humidtiy,Cloud Coverage,Wind Speed,City Country,Date Time
Okha,142.95,53.57,52.52,88,100,5.79,RU,1594344698
West Wendover,-114.07,40.74,93.2,9,1,6.42,US,1594344698
Dāhānu,72.73,19.97,82.65,83,95,14.09,IN,1594344698
Bassano,-112.47,50.78,70.0,60,92,9.4,CA,1594344699
Chui,-53.46,-33.7,43.7,84,0,8.43,UY,1594344699
Iqaluit,-68.51,63.75,42.8,87,75,4.7,CA,1594344699
Port Elizabeth,25.57,-33.92,55.4,87,75,2.24,ZA,1594344699
Port Alfred,26.89,-33.59,59.0,87,100,4.0,ZA,1594344699
Mar del Plata,-57.56,-38.0,46.99,75,100,6.93,AR,1594344700
Rio Rancho,-106.66,35.23,99.0,11,1,8.05,US,1594344700
Cape Town,18.42,-33.93,52.0,93,75,9.17,ZA,1594344613
Bluff,168.33,-46.6,50.74,79,38,16.93,NZ,1594344700
Nikolskoye,30.79,59.7,50.0,81,0,4.47,RU,1594344700
Omsukchan,155.8,62.53,55.54,84,100,5.17,RU,1594344701
Sørland,12.69,67.67,51.94,85,100,13.18,NO,1594344701
Barrow,-156.79,71.29,37.4,86,90,10.29,US,1594344701
Yellowknife,-114.35,62.46,68.0,45,75,9.17,CA,1594344619
Hithadhoo,73.08,-0.6,84.2,71,79,6.26,MV,1594344647
Hong Kong,114.16,22.29,87.01,70,98,13.0,HK,1594344697
Mataura,168.86,-46.19,47.34,88,87,6.98,NZ,1594344702
Albany,-73.97,42.6,84.99,67,1,3.22,US,1594344601
Rebrikha,82.34,53.07,70.34,83,97,13.67,RU,1594344702
Ust'-Tarka,75.7,55.57,63.79,91,75,15.46,RU,1594344702
Rikitea,-134.97,-23.12,67.23,75,0,26.08,PF,1594344703
Makassar,119.42,-5.14,82.4,88,20,2.24,ID,1594344572
Carnarvon,113.63,-24.87,60.8,41,70,13.87,AU,1594344703
Pisco,-76.22,-13.7,60.8,77,20,8.05,PE,1594344498
Camacha,-16.33,33.08,68.0,77,40,14.99,PT,1594344704
Hobyo,48.53,5.35,77.61,78,100,22.32,SO,1594344704
Pecos,-103.49,31.42,107.6,12,1,13.87,US,1594344704
Mersing,103.84,2.43,75.2,94,40,3.36,MY,1594344704
Broome,-75.83,42.25,79.0,74,1,6.93,US,1594344704
Nelson Bay,152.15,-32.72,60.01,82,90,5.82,AU,1594344705
Bethel,-73.41,41.37,77.0,78,1,3.78,US,1594344705
Novosergiyevka,53.65,52.09,72.75,71,0,6.11,RU,1594344705
Vaini,-175.2,-21.2,75.2,88,75,4.7,TO,1594344705
Avarua,-159.78,-21.21,77.0,69,99,13.87,CK,1594344706
Antalaha,50.28,-14.9,67.78,86,10,8.75,MG,1594344706
Hobart,147.33,-42.88,44.6,87,75,10.29,AU,1594344523
Hilo,-155.09,19.73,80.6,69,90,9.17,US,1594344514
Harper,-7.72,4.38,75.47,84,99,10.49,LR,1594344620
George Town,100.34,5.41,82.4,88,20,6.51,MY,1594344707
Chokurdakh,147.92,70.63,64.18,52,100,8.48,RU,1594344707
Jamestown,-79.24,42.1,80.6,61,75,3.36,US,1594344707
Shimoda,138.95,34.67,78.8,88,75,16.11,JP,1594344707
Upernavik,-56.15,72.79,42.78,78,100,4.7,GL,1594344708
Roald,6.13,62.58,53.6,71,100,6.93,NO,1594344708
Coyhaique,-72.07,-45.58,30.2,92,35,2.24,CL,1594344676
Butaritari,172.79,3.07,82.99,78,3,12.26,KI,1594344708
Tsaratanana,47.65,-16.78,63.52,67,4,13.51,MG,1594344708
Busselton,115.33,-33.65,50.0,81,11,8.21,AU,1594344709
Tura,90.22,25.52,76.12,97,100,6.15,IN,1594344709
Sinnamary,-52.95,5.38,78.28,85,85,5.95,GF,1594344709
Port Blair,92.75,11.67,83.52,76,100,10.2,IN,1594344709
Ambulu,113.61,-8.35,79.3,72,98,1.43,ID,1594344709
Leninskoye,132.62,47.94,70.7,68,53,4.05,RU,1594344710
Segezha,34.32,63.74,51.48,82,0,9.4,RU,1594344710
Saskylakh,114.08,71.92,58.69,55,66,12.08,RU,1594344710
Paamiut,-49.67,61.99,44.65,94,100,23.94,GL,1594344710
Punta Arenas,-70.92,-53.15,33.8,80,97,12.75,CL,1594344710
Coleraine,-6.67,55.13,50.0,87,75,9.17,GB,1594344711
Atuona,-139.03,-9.8,79.47,79,46,16.87,PF,1594344711
Bongandanga,21.05,1.5,71.02,96,100,1.41,CD,1594344711
Puerto Ayora,-90.35,-0.74,68.0,94,70,4.0,EC,1594344711
